mouse id,time,status,diet
CD1,12,1,Control
CD2,14,1,Control
CD3,17,1,Control
CD4,19,1,Control
CD5,22,1,Control
CD6,23,1,Control
CD7,24,0,Control
CD8,24,0,Control
CD9,24,0,Control
CD10,24,0,Control
CD12,20,1,Control
CD13,21,1,Control
CD14,24,1,Control
CD15,24,1,Control
CD16,24,0,Control
CD17,24,0,Control
CD18,19,1,Control
CD20,24,0,Control
CD21,18,1,Control
ID1,19,1,Inulin
ID2,22,1,Inulin
ID3,24,1,Inulin
ID4,24,0,Inulin
ID5,24,0,Inulin
ID6,24,0,Inulin
ID7,24,0,Inulin
ID8,24,0,Inulin
ID9,24,0,Inulin
ID10,24,0,Inulin
ID22,24,0,Inulin
ID23,24,0,Inulin
ID25,22,1,Inulin
ID26,24,0,Inulin
ID30,20,1,Inulin
ID31,24,0,Inulin
ID33,24,0,Inulin
ID34,24,1,Inulin
ID35,24,1,Inulin
